Username,2digit code,Region,Template Sheet,Template Style,Zepeto mainacc url,Zepeto subacc IDs
1. ZDE,ZD,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=0,"Casual, Costume, Lovely",https://user.zepeto.me/zde_shop?language=ko,@zde_shop_2 / @zgm_shop_1st / @zgm_shop_2nd
2. YAP,YA,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1627508860,"Casual, Costume",https://user.zepeto.me/yap_yap?language=ko,@yapzzi / @yap_zzi
3. JM,XO,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1112378198,"Casual, Goth, Lovely",https://user.zepeto.me/jm.zpt?language=ko,@by.jm1 / @by.jm2 / @by.jm3
4. Benny,BE,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=879317444,Casual,https://user.zepeto.me/bennyshop?language=ko,"@bennyshop2 / @bennyvers / @nalu3494 "
5. 제이 (Jay),JE,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1721371004,"Casual, Lovely, Luxury",https://user.zepeto.me/hoinho?language=ko,@hoinho_shop / @hoinho_shop1
6. PINK J,PJ,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=65230459,Lovely,https://user.zepeto.me/pink_j.shop?language=ko,@pink_j.shop2 / @pink_j.shop3 / @pink_j.shop4
7. MOMA,MM,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=251500238,"Casual, Sexy, Vintage",https://user.zepeto.me/momagupi?language=ko,@momagupi.m / @momagupi.s / @momagupi.a / @momagupi.t
8. 희희 (Heehee),HH,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=176962666,"Goth, Punk, Sexy",https://user.zepeto.me/aja1004?language=ko,@sis_is2 / @sis_is3
9. NOVA,NV,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=978690411,"Lovely, Luxury",https://user.zepeto.me/nova_shop?language=ko,@nova_2nd / @nova_3rd / @nova_lab
10. MAME,MA,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1333896630,"Costume, Lovely",https://user.zepeto.me/_mame?language=ko,
11. 그리미 (GRM),RM,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=376249414,"Casual, Lovely, Punk",https://user.zepeto.me/grm0507?language=ko," @grm_2"
12. sollaC,SC,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1801805815,"Casual, Costume, Lovely",https://user.zepeto.me/solla_c?language=ko,@94_solla_c  (ZGM 2D) / @solla_c_3  / @sollac_123 (ZGM 2D)
13. SINI,SN,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=413690079,Lovely,https://user.zepeto.me/sini?language=ko,
14. z제트,ZZ,KR - Korea,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1778774926,"Casual, Lovely, Sexy",https://user.zepeto.me/dangcheumja?language=ko,@dangcheumja2 / @dangcheumja3
