이름,2자리 코드,국가,스타일,제페토 본계,제페토 부계,템플릿 시트
1. ZDE,ZD,KR - 한국,"러블리, 캐주얼, 코스튬",https://user.zepeto.me/zde_shop?language=ko,@zde_shop_2 / @zgm_shop_1st / @zgm_shop_2nd,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=0
2. YAP,YA,KR - 한국,"캐주얼, 코스튬",https://user.zepeto.me/yap_yap?language=ko,@yapzzi / @yap_zzi,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1627508860
3. JM,XO,KR - 한국,"고스, 러블리, 캐주얼",https://user.zepeto.me/jm.zpt?language=ko,@by.jm1 / @by.jm2 / @by.jm3,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1112378198
4. Benny,BE,KR - 한국,캐주얼,https://user.zepeto.me/bennyshop?language=ko,"@bennyshop2 / @bennyvers / @nalu3494 ",https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=879317444
5. 제이,JE,KR - 한국,"러블리, 럭셔리, 캐주얼",https://user.zepeto.me/hoinho?language=ko,@hoinho_shop / @hoinho_shop1,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1721371004
6. PINK J,PJ,KR - 한국,러블리,https://user.zepeto.me/pink_j.shop?language=ko,@pink_j.shop2 / @pink_j.shop3 / @pink_j.shop4,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=65230459
7. MOMA,MM,KR - 한국,"빈티지, 섹시, 캐주얼",https://user.zepeto.me/momagupi?language=ko,@momagupi.m / @momagupi.s / @momagupi.a / @momagupi.t,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=251500238
8. 희희,HH,KR - 한국,"고스, 섹시, 펑크",https://user.zepeto.me/aja1004?language=ko,@sis_is2 / @sis_is3,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=176962666
9. NOVA,NV,KR - 한국,"러블리, 럭셔리",https://user.zepeto.me/nova_shop?language=ko,@nova_2nd / @nova_3rd / @nova_lab,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=978690411
11. 그리미,RM,KR - 한국,"러블리, 캐주얼, 펑크",https://user.zepeto.me/grm0507?language=ko," @grm_2",https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=376249414
12. sollaC,SC,KR - 한국,"러블리, 캐주얼, 코스튬",https://user.zepeto.me/solla_c?language=ko,@94_solla_c  (ZGM 2D) / @solla_c_3  / @sollac_123 (ZGM 2D),https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1801805815
13. SINI,SN,KR - 한국,러블리,https://user.zepeto.me/sini?language=ko,,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=413690079
14. z제트,ZZ,KR - 한국,"러블리, 섹시, 캐주얼",https://user.zepeto.me/dangcheumja?language=ko,@dangcheumja2 / @dangcheumja3,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1778774926
15. Yangyang,YY,KR - 한국,"럭셔리, 코스튬",https://user.zepeto.me/liang?language=ko,,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=910632077
16. 숨니,SU,KR - 한국,러블리,https://user.zepeto.me/sumni1?language=ko,@sumni22 / @summer_1st,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=2023121789
17. vali발리,VL,KR - 한국,"러블리, 섹시, 캐주얼",https://user.zepeto.me/valilav?language=ko,@valilav_2 / @valilav_3 / @valilav_4,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=2092368173
18. 묘미myomi,MY,KR - 한국,캐주얼,https://user.zepeto.me/my.mi?language=ko,@my.he,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1307817278
19. Bien,BI,KR - 한국,러블리,https://user.zepeto.me/bien_m?language=ko,@bien_s / @bien_t / @bonbon1st / @bonbon_2nd / @bonbon_3rd,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=227034459
20. 도로시아,DO,KR - 한국,"고스, 섹시, 캐주얼",https://user.zepeto.me/doroxia?language=ko,@doroxia_2nd /@doroxia_3rd,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1151660987
21. Min,MI,KR - 한국,"고스, 럭셔리, 섹시",https://user.zepeto.me/min_shop?language=ko,@min_2nd.shop / @min_3rd.shop / @min_4th.shop,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=719769864
22. 김케이,KK,KR - 한국,캐주얼,https://user.zepeto.me/keishop1?language=ko,@keishop2 / @keishop3 / @keishop4,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=139895485
23. 모노MONO,MN,KR - 한국,"섹시, 캐주얼, 코스튬",https://user.zepeto.me/mono_shop?language=ko,@mono_shop2 / @mono_shop3 / @mono_shop4,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=585174205
24. 와니스,WA,KR - 한국,"럭셔리, 캐주얼, 코스튬",https://user.zepeto.me/wanis?language=ko,@wanis2 / @wanis3 / @stella_2nd,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=829949768
25. 힐레Hilre,HR,KR - 한국,"럭셔리, 섹시, 코스튬",https://user.zepeto.me/hilre?language=ko,@hilre_shop / @hilre_shop2 (2D),https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=658638746
26. noil,NI,GB - 글로벌,"러블리, 캐주얼",https://user.zepeto.me/.noil?language=ko,,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=457357837
27. miyoung미영,MY,GB - 글로벌,러블리,https://user.zepeto.me/miyouezpt?language=ko,@hiyori / @artemis,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1798413988
28. Viola,VO,GB - 글로벌,"섹시, 캐주얼",https://user.zepeto.me/violaxxzpt?language=ko,@karma.karma / @viola2ndshop / @karma2nd,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=234479223
29. peternine,PN,KR - 한국,캐주얼,https://user.zepeto.me/peternine?language=ko,@peternine.2 / @peternine.3,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=807922339
30. SHAYDEN,SD,KR - 한국,캐주얼,https://user.zepeto.me/zpt.shayden?language=ko,@zpt.shayden2 / @zpt.shayden3 / @zpt.shayden4 / @zpt.shayden5 / @zpt.shayden6,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=1705943444
31. MARGARine$,MG,KR - 한국,,https://user.zepeto.me/ma_gal?language=ko,@ma_gal_A / @ma_gal_2nd / @ma_gal_3rd / @ma_gal_zgm,https://docs.google.com/spreadsheets/d/1cdnuwJkneHsBxfxlbOFGURQdcrtxyI2Zrao76QjCfQ0/edit#gid=207017716
